Company,Rating,Reviews,Industry,Location,Type,HQ,Age,Employees,Highly_Rated,Critically_Rated,Page
Aurobindo Pharma,,(5.9k),Pharma,Hyderabad +119 other locations,,,,,"Job Security, Salary, Work Life Balance",Promotions,6
Shapoorji Pallonji Group,,(5.9k),Engineering & Construction,Mumbai +191 other locations,,,,,"Job Security, Company Culture, Work Life Balance",Promotions,6
Tata Capital,,(5.9k),NBFC,Mumbai +465 other locations,,,,,"Job Security, Company Culture, Work Life Balance",Promotions,6
Swiggy,,(5.9k),Internet,Bengaluru +245 other locations,,,,,"Job Security, Promotions, Work Life Balance",,6
UST,,(5.9k),IT Services & Consulting,Bengaluru +54 other locations,,,,,Work Life Balance,"Promotions, Job Security, Salary",6
Standard Chartered,,(5.9k),Banking,Chennai +72 other locations,,,,,"Promotions, Work Satisfaction, Salary",,6
Mahindra Finance,,(5.9k),NBFC,Mumbai +760 other locations,,,,,Promotions,,6
Bosch Global Software Technologies,,(5.8k),IT Services & Consulting,Bengaluru +48 other locations,,,,,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",6
Udaan,,(5.8k),Internet,Bengaluru +374 other locations,,,,,Salary,"Job Security, Promotions",7
Citicorp,,(5.7k),Financial Services,Pune +74 other locations,,,,,Salary,"Promotions, Work Satisfaction, Skill Development",7
Ashok Leyland,,(5.7k),Automobile,Chennai +273 other locations,,,,,"Skill Development, Company Culture, Work Life Balance",Promotions,7
Hero MotoCorp,,(5.7k),Automobile,Gurugram +387 other locations,,,,,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,7
CGI Inc,,(5.6k),IT Services & Consulting,Bengaluru +49 other locations,,,,,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",7
NTT DATA,,(5.5k),IT Services & Consulting,Bengaluru +86 other locations,,,,,"Work Life Balance, Job Security",Promotions,7
Kalpataru Projects International,,(5.5k),Engineering & Construction,Mumbai +340 other locations,,,,,"Job Security, Skill Development, Salary",,7
SBI Cards & Payment Services,,(5.5k),Financial Services,Gurugram +459 other locations,,,,,"Promotions, Work Satisfaction, Company Culture",,7
Nagarjuna Construction Company,,(5.5k),Construction,Hyderabad +301 other locations,,,,,"Job Security, Work Life Balance, Skill Development",Promotions,7
IQVIA,,(5.5k),Clinical Research,Bengaluru +68 other locations,,,,,Work Life Balance,"Promotions, Salary, Work Satisfaction",7
BNY,,(5.5k),Financial Services,Pune +29 other locations,,,,,"Promotions, Job Security, Work Satisfaction",,7
Cyient,,(5.5k),IT Services & Consulting,Hyderabad +51 other locations,,,,,"Promotions, Salary, Skill Development",,7
Schneider Electric,,(5.4k),Industrial Automation,Bengaluru +123 other locations,,,,,"Company Culture, Work Life Balance, Job Security",Promotions,7
SBI Life Insurance Company,,(5.4k),Insurance,Mumbai +676 other locations,,,,,Job Security,"Promotions, Work Life Balance, Work Satisfaction",7
CBRE,,(5.3k),Real Estate,Hyderabad +97 other locations,,,,,"Company Culture, Work Life Balance, Job Security",,7
JustDial,,(5.3k),Internet,Noida +239 other locations,,,,,"Promotions, Work Satisfaction, Job Security",,7
TVS Motor,,(5.3k),Automobile,Hosur +360 other locations,,,,,"Job Security, Skill Development, Salary",Promotions,7
State Bank of India,,(5.3k),Banking,Mumbai +677 other locations,,,,,"Job Security, Skill Development, Salary",,7
Persistent Systems,,(5.3k),IT Services & Consulting,Pune +42 other locations,,,,,"Promotions, Job Security, Work Satisfaction",,7
KEC International,,(5.2k),Engineering & Construction,Mumbai +327 other locations,,,,,"Job Security, Salary, Company Culture",Promotions,7
